"","date","value"
"690",2005-06-01,5
"691",2005-07-01,5
"692",2005-08-01,4.9
"693",2005-09-01,5
"694",2005-10-01,5
"695",2005-11-01,5
"696",2005-12-01,4.9
"697",2006-01-01,4.7
"698",2006-02-01,4.8
"699",2006-03-01,4.7
"700",2006-04-01,4.7
"701",2006-05-01,4.6
"702",2006-06-01,4.6
"703",2006-07-01,4.7
"704",2006-08-01,4.7
"705",2006-09-01,4.5
"706",2006-10-01,4.4
"707",2006-11-01,4.5
"708",2006-12-01,4.4
"709",2007-01-01,4.6
"710",2007-02-01,4.5
"711",2007-03-01,4.4
"712",2007-04-01,4.5
"713",2007-05-01,4.4
"714",2007-06-01,4.6
"715",2007-07-01,4.7
"716",2007-08-01,4.6
"717",2007-09-01,4.7
"718",2007-10-01,4.7
"719",2007-11-01,4.7
"720",2007-12-01,5
"721",2008-01-01,5
"722",2008-02-01,4.9
"723",2008-03-01,5.1
"724",2008-04-01,5
"725",2008-05-01,5.4
"726",2008-06-01,5.6
"727",2008-07-01,5.8
"728",2008-08-01,6.1
"729",2008-09-01,6.1
"730",2008-10-01,6.5
"731",2008-11-01,6.8
"732",2008-12-01,7.3
"733",2009-01-01,7.8
"734",2009-02-01,8.3
"735",2009-03-01,8.7
"736",2009-04-01,9
"737",2009-05-01,9.4
"738",2009-06-01,9.5
"739",2009-07-01,9.5
"740",2009-08-01,9.6
"741",2009-09-01,9.8
"742",2009-10-01,10
"743",2009-11-01,9.9
"744",2009-12-01,9.9
"745",2010-01-01,9.8
"746",2010-02-01,9.8
"747",2010-03-01,9.9
"748",2010-04-01,9.9
"749",2010-05-01,9.6
"750",2010-06-01,9.4
"751",2010-07-01,9.4
"752",2010-08-01,9.5
"753",2010-09-01,9.5
"754",2010-10-01,9.4
"755",2010-11-01,9.8
"756",2010-12-01,9.3
"757",2011-01-01,9.1
"758",2011-02-01,9
"759",2011-03-01,9
"760",2011-04-01,9.1
"761",2011-05-01,9
"762",2011-06-01,9.1
"763",2011-07-01,9
"764",2011-08-01,9
"765",2011-09-01,9
"766",2011-10-01,8.8
"767",2011-11-01,8.6
"768",2011-12-01,8.5
"769",2012-01-01,8.3
"770",2012-02-01,8.3
"771",2012-03-01,8.2
"772",2012-04-01,8.2
"773",2012-05-01,8.2
"774",2012-06-01,8.2
"775",2012-07-01,8.2
"776",2012-08-01,8.1
"777",2012-09-01,7.8
"778",2012-10-01,7.8
"779",2012-11-01,7.7
"780",2012-12-01,7.9
"781",2013-01-01,8
"782",2013-02-01,7.7
"783",2013-03-01,7.5
"784",2013-04-01,7.6
"785",2013-05-01,7.5
"786",2013-06-01,7.5
"787",2013-07-01,7.3
"788",2013-08-01,7.2
"789",2013-09-01,7.2
"790",2013-10-01,7.2
"791",2013-11-01,6.9
"792",2013-12-01,6.7
"793",2014-01-01,6.6
"794",2014-02-01,6.7
"795",2014-03-01,6.7
"796",2014-04-01,6.2
"797",2014-05-01,6.3
"798",2014-06-01,6.1
"799",2014-07-01,6.2
"800",2014-08-01,6.1
"801",2014-09-01,5.9
"802",2014-10-01,5.7
"803",2014-11-01,5.8
"804",2014-12-01,5.6
"805",2015-01-01,5.7
"806",2015-02-01,5.5
"807",2015-03-01,5.4
"808",2015-04-01,5.4
"809",2015-05-01,5.6
"810",2015-06-01,5.3
"811",2015-07-01,5.2
"812",2015-08-01,5.1
"813",2015-09-01,5
"814",2015-10-01,5
"815",2015-11-01,5.1
"816",2015-12-01,5
"817",2016-01-01,4.8
"818",2016-02-01,4.9
"819",2016-03-01,5
"820",2016-04-01,5.1
"821",2016-05-01,4.8
"822",2016-06-01,4.9
"823",2016-07-01,4.8
"824",2016-08-01,4.9
"825",2016-09-01,5
"826",2016-10-01,4.9
"827",2016-11-01,4.7
"828",2016-12-01,4.7
"829",2017-01-01,4.7
"830",2017-02-01,4.6
"831",2017-03-01,4.4
"832",2017-04-01,4.4
"833",2017-05-01,4.4
"834",2017-06-01,4.3
"835",2017-07-01,4.3
"836",2017-08-01,4.4
"837",2017-09-01,4.3
"838",2017-10-01,4.2
"839",2017-11-01,4.2
